Time,Price
01/10/2009,0.712594
01/11/2009,0.763817
01/12/2009,0.889186
01/01/2010,1.125491
01/02/2010,1.012574
01/03/2010,0.909562
01/04/2010,0.927957
01/05/2010,1.117567
01/06/2010,1.192845
01/07/2010,1.300102
01/08/2010,1.205863
01/09/2010,1.153791
01/10/2010,1.3018
01/11/2010,1.405378
01/12/2010,1.761958
01/01/2011,1.584234
01/02/2011,1.520842
01/03/2011,1.709037
01/04/2011,1.619609
01/05/2011,1.613383
01/06/2011,1.648475
01/07/2011,1.559047
01/08/2011,1.529898
01/09/2011,1.518012
01/10/2011,1.586215
01/11/2011,1.645645
01/12/2011,1.585932
01/01/2012,1.540369
01/02/2012,1.851103
01/03/2012,1.653852
01/04/2012,1.696302
01/05/2012,1.613383
01/06/2012,1.560745
01/07/2012,1.57348
01/08/2012,1.543199
01/09/2012,1.710735
01/10/2012,1.821105
01/11/2012,1.857329
01/12/2012,1.85365
01/01/2013,1.891289
01/02/2013,1.949304
01/03/2013,2.449931
01/04/2013,1.980434
01/05/2013,1.871762
01/06/2013,1.711301
01/07/2013,1.846009
01/08/2013,1.829595
01/09/2013,1.859593
01/10/2013,1.841764
01/11/2013,1.932607
01/12/2013,1.962605
01/01/2014,1.84233
01/02/2014,1.665738
01/03/2014,1.599799
01/04/2014,1.411887
01/05/2014,1.282839
01/06/2014,1.11785
01/07/2014,1.061533
01/08/2014,1.149263
01/09/2014,1.370569
01/10/2014,1.426886
01/11/2014,1.551972
01/12/2014,1.517446
01/01/2015,1.30463
01/02/2015,1.428301
01/03/2015,1.336609
01/04/2015,1.326138
01/05/2015,1.247747
01/06/2015,1.227371
01/07/2015,1.230201
01/08/2015,1.123227
01/09/2015,1.161432
01/10/2015,1.119548
01/11/2015,1.01597
01/12/2015,0.963049
01/01/2016,0.907015
01/02/2016,0.839378
01/03/2016,0.83768
01/04/2016,0.833152
01/05/2016,0.860603
01/06/2016,0.96786
01/07/2016,0.97069
01/08/2016,0.859188
01/09/2016,0.802588
01/10/2016,1.212089
01/11/2016,1.361796
01/12/2016,1.316799
01/01/2017,1.510937
01/02/2017,1.443583
01/03/2017,1.160866
01/04/2017,1.124359
01/05/2017,1.111907
01/06/2017,0.985972
01/07/2017,1.024743
01/08/2017,1.204731
01/09/2017,1.3018
01/10/2017,1.28482
01/11/2017,1.498485
01/12/2017,1.649607
01/01/2018,1.427452
01/02/2018,1.668568
01/03/2018,1.81969
01/04/2018,1.441602
01/05/2018,1.572914
01/06/2018,1.555651
01/07/2018,1.639419
01/08/2018,1.778089
01/09/2018,2.086276
01/10/2018,1.882799
01/11/2018,1.821671
01/12/2018,1.803842
01/01/2019,1.633193
01/02/2019,1.332647
01/03/2019,1.112473
01/04/2019,0.989934
01/05/2019,0.889469
01/06/2019,0.791268
01/07/2019,0.83768
01/08/2019,0.785325
01/09/2019,0.703821
01/10/2019,0.725895
01/11/2019,1.076532
01/12/2019,0.909562
01/01/2020,0.78957
01/02/2020,0.66505
01/03/2020,0.648636
01/04/2020,0.389125
01/05/2020,0.327997
01/06/2020,0.372994
01/07/2020,0.374692
01/08/2020,0.572226
01/09/2020,0.84617
01/10/2020,1.081909
01/11/2020,1.063231
01/12/2020,1.293027
01/01/2021,1.669983
01/02/2021,1.300102
01/03/2021,1.272368
01/04/2021,1.549991
01/05/2021,1.84516
01/06/2021,2.037883
01/07/2021,2.571904
01/08/2021,3.114132
01/09/2021,4.58743
01/10/2021,6.049408
01/11/2021,5.691979
01/12/2021,7.668168
01/01/2022,5.766125
01/02/2022,5.312476
01/03/2022,8.874031
01/04/2022,5.267479
01/05/2022,2.980273
01/06/2022,4.230567
01/07/2022,7.010193
01/08/2022,10.0748
01/09/2022,7.455352
01/10/2022,6.517773
