Time,Price,Price
01/10/2009,0.712594,25.18
01/11/2009,0.763817,26.99
01/12/2009,0.889186,31.42
01/01/2010,1.125491,39.77
01/02/2010,1.012574,35.78
01/03/2010,0.909562,32.14
01/04/2010,0.927957,32.79
01/05/2010,1.117567,39.49
01/06/2010,1.192845,42.15
01/07/2010,1.300102,45.94
01/08/2010,1.205863,42.61
01/09/2010,1.153791,40.77
01/10/2010,1.3018,46
01/11/2010,1.405378,49.66
01/12/2010,1.761958,62.26
01/01/2011,1.584234,55.98
01/02/2011,1.520842,53.74
01/03/2011,1.709037,60.39
01/04/2011,1.619609,57.23
01/05/2011,1.613383,57.01
01/06/2011,1.648475,58.25
01/07/2011,1.559047,55.09
01/08/2011,1.529898,54.06
01/09/2011,1.518012,53.64
01/10/2011,1.586215,56.05
01/11/2011,1.645645,58.15
01/12/2011,1.585932,56.04
01/01/2012,1.540369,54.43
01/02/2012,1.851103,65.41
01/03/2012,1.653852,58.44
01/04/2012,1.696302,59.94
01/05/2012,1.613383,57.01
01/06/2012,1.560745,55.15
01/07/2012,1.57348,55.6
01/08/2012,1.543199,54.53
01/09/2012,1.710735,60.45
01/10/2012,1.821105,64.35
01/11/2012,1.857329,65.63
01/12/2012,1.85365,65.5
01/01/2013,1.891289,66.83
01/02/2013,1.949304,68.88
01/03/2013,2.449931,86.57
01/04/2013,1.980434,69.98
01/05/2013,1.871762,66.14
01/06/2013,1.711301,60.47
01/07/2013,1.846009,65.23
01/08/2013,1.829595,64.65
01/09/2013,1.859593,65.71
01/10/2013,1.841764,65.08
01/11/2013,1.932607,68.29
01/12/2013,1.962605,69.35
01/01/2014,1.84233,65.1
01/02/2014,1.665738,58.86
01/03/2014,1.599799,56.53
01/04/2014,1.411887,49.89
01/05/2014,1.282839,45.33
01/06/2014,1.11785,39.5
01/07/2014,1.061533,37.51
01/08/2014,1.149263,40.61
01/09/2014,1.370569,48.43
01/10/2014,1.426886,50.42
01/11/2014,1.551972,54.84
01/12/2014,1.517446,53.62
01/01/2015,1.30463,46.1
01/02/2015,1.428301,50.47
01/03/2015,1.336609,47.23
01/04/2015,1.326138,46.86
01/05/2015,1.247747,44.09
01/06/2015,1.227371,43.37
01/07/2015,1.230201,43.47
01/08/2015,1.123227,39.69
01/09/2015,1.161432,41.04
01/10/2015,1.119548,39.56
01/11/2015,1.01597,35.9
01/12/2015,0.963049,34.03
01/01/2016,0.907015,32.05
01/02/2016,0.839378,29.66
01/03/2016,0.83768,29.6
01/04/2016,0.833152,29.44
01/05/2016,0.860603,30.41
01/06/2016,0.96786,34.2
01/07/2016,0.97069,34.3
01/08/2016,0.859188,30.36
01/09/2016,0.802588,28.36
01/10/2016,1.212089,42.83
01/11/2016,1.361796,48.12
01/12/2016,1.316799,46.53
01/01/2017,1.510937,53.39
01/02/2017,1.443583,51.01
01/03/2017,1.160866,41.02
01/04/2017,1.124359,39.73
01/05/2017,1.111907,39.29
01/06/2017,0.985972,34.84
01/07/2017,1.024743,36.21
01/08/2017,1.204731,42.57
01/09/2017,1.3018,46
01/10/2017,1.28482,45.4
01/11/2017,1.498485,52.95
01/12/2017,1.649607,58.29
01/01/2018,1.427452,50.44
01/02/2018,1.668568,58.96
01/03/2018,1.81969,64.3
01/04/2018,1.441602,50.94
01/05/2018,1.572914,55.58
01/06/2018,1.555651,54.97
01/07/2018,1.639419,57.93
01/08/2018,1.778089,62.83
01/09/2018,2.086276,73.72
01/10/2018,1.882799,66.53
01/11/2018,1.821671,64.37
01/12/2018,1.803842,63.74
01/01/2019,1.633193,57.71
01/02/2019,1.332647,47.09
01/03/2019,1.112473,39.31
01/04/2019,0.989934,34.98
01/05/2019,0.889469,31.43
01/06/2019,0.791268,27.96
01/07/2019,0.83768,29.6
01/08/2019,0.785325,27.75
01/09/2019,0.703821,24.87
01/10/2019,0.725895,25.65
01/11/2019,1.076532,38.04
01/12/2019,0.909562,32.14
01/01/2020,0.78957,27.9
01/02/2020,0.66505,23.5
01/03/2020,0.648636,22.92
01/04/2020,0.389125,13.75
01/05/2020,0.327997,11.59
01/06/2020,0.372994,13.18
01/07/2020,0.374692,13.24
01/08/2020,0.572226,20.22
01/09/2020,0.84617,29.9
01/10/2020,1.081909,38.23
01/11/2020,1.063231,37.57
01/12/2020,1.293027,45.69
01/01/2021,1.669983,59.01
01/02/2021,1.300102,45.94
01/03/2021,1.272368,44.96
01/04/2021,1.549991,54.77
01/05/2021,1.84516,65.2
01/06/2021,2.037883,72.01
01/07/2021,2.571904,90.88
01/08/2021,3.114132,110.04
01/09/2021,4.58743,162.1
01/10/2021,6.049408,213.76
01/11/2021,5.691979,201.13
01/12/2021,7.668168,270.96
01/01/2022,5.766125,203.75
01/02/2022,5.312476,187.72
01/03/2022,8.874031,313.57
01/04/2022,5.267479,186.13
01/05/2022,2.980273,105.31
01/06/2022,4.230567,149.49
01/07/2022,7.010193,247.71
01/08/2022,10.0748,356
01/09/2022,7.455352,263.44
01/10/2022,6.517773,230.31
