,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,8360622.912105056
13,5694203.618795129
14,5723476.520662444
15,4689896.635027696
16,4543785.185610964
17,4501938.853128098
18,4984562.372273238
19,3397729.120327982
20,3180068.1982383956
21,4345993.426055017
22,3714182.4928605487
23,3790580.44681138
24,10271831.01379729
25,9013622.58367185
26,6693217.747635531
27,8675065.443998225
28,6379163.163519455
29,6607496.045312976
30,8849525.443098819
31,6640302.306452452
32,6507732.966653372
33,7383798.477045117
34,7025052.012787087
35,6315443.362248384
36,10950901.45221221
37,10439773.818052651
38,13817825.622495158
39,6527791.527466566
40,9559359.850446466
41,7867820.897185571
42,10416489.26765021
43,6200036.494704288
44,9282706.80824223
45,10786812.690263158
46,9426754.866261424
47,10359292.65428651
48,13060825.704410847
49,15473722.98633695
50,13511030.69714829
51,13921362.936285647
52,12393411.166239882
53,13620627.02995688
54,14672154.614084756
55,12383197.210256917
56,11456148.511669839
57,12440532.193192068
58,7694871.851037983
59,12160491.596524196
60,15723902.64403623
61,18516448.84501639
62,13411364.057182182
63,17375168.359580513
64,17983571.77703993
65,13157601.36147956
66,12367436.34715749
67,13398376.0905608
68,13023270.101126183
69,10785599.920126317
70,12164611.202862127
71,10536473.571978783
72,11826091.734919725
73,9993246.529742502
74,15279014.882748416
75,14220680.823928513
76,11396322.422212912
77,11416974.312562536
78,11637735.63394193
79,10287120.083880942
80,11342611.717272297
81,8369570.605215957
82,11752100.261440346
83,8999383.373711146
84,9750452.400429627
85,9741700.078613885
86,10491184.012230908
87,8978044.32768416
88,9576262.302342696
89,8325217.386285891
90,12119566.603472292
91,8407017.736569898
92,9805496.58440435
93,11269182.259948492
94,8573655.782589622
95,9856272.157829229
96,9411946.609008903
97,9012912.511212463
98,9729544.802560171
99,9689905.707767399
100,10444771.61300906
101,8143300.015538607
102,9885518.201950936
103,10503883.970827075
104,6403071.2687167805
105,7754104.051328858
106,9535996.1314986
107,9412924.907741826
108,9851893.886447808
109,10121903.486935249
110,9108731.022803143
111,7476979.354690857
112,9427947.28705276
113,8058622.183424488
114,8801696.908540763
115,7259254.876386102
116,8217872.7217605
117,7411844.693146449
118,5886020.229328534
119,8256102.624376328
120,8050673.392489762
121,9487413.239536239
122,8151406.0263374485
123,9424929.60191744
124,8537527.785862628
125,7401706.191362722
126,7878808.8995107785
127,6559326.294743935
128,5837036.99898898
129,7757455.599981713
130,8242624.51426227
131,8112561.413989585
132,9300412.821583467
133,7623818.944481691
134,7801382.8291484965
135,7792989.121910121
136,7966050.719953789
137,8251009.243041147
138,5676498.28015833
139,8650244.785323307
140,6995657.383629171
141,6604780.381087573
142,5805131.354971345
143,8687300.59321652
144,5945333.334515111
145,6947301.75733967
146,6796927.339264877
147,5165093.163351599
148,7590190.205787537
149,7341852.530942539
150,7469113.944225497
151,6113422.477052637
152,6331046.535607098
153,7484269.93563195
154,7328894.636682212
155,7584734.060822638
156,7344454.418339842
157,7913236.312178214
158,7141395.553918959
159,6712451.756937815
160,6247117.893305261
161,7245278.820575949
162,8231275.800884962
163,6240496.449475629
164,6179318.373125107
165,5001078.123021521
166,6420931.850173388
167,5971587.497512035
168,6584683.440568952
169,6954384.857132637
170,7560201.819797241
171,6242882.169158009
172,5781083.909811249
173,7505438.235732024
174,6692663.23870954
175,6281108.379936601
176,6596916.600658461
177,6972626.267095122
178,6931602.916426353
179,6966362.476696782
180,6215479.749250891
181,6546497.575064359
182,5822291.411383897
183,5997562.611230348
184,6139081.912886066
185,7772729.007978122
186,6802416.525852463
187,5980774.899233723
188,6499307.745283469
189,6178969.032992493
190,6595187.9625941
191,7409116.598296996
192,5588336.090418634
193,6418843.605767531
194,5951684.619550751
195,5497638.1569762975
196,4844157.479038692
197,6762462.598520394
198,5467970.917424608
199,5559659.03142811
200,5793581.529263224
201,6055028.829226359
202,5463344.050383241
203,5907842.328632812
204,5890406.179617734
205,5507073.144452744
206,5026376.3165145535
207,5324860.311373463
208,6165262.159622059
209,5953362.710447706
210,5787025.814157947
211,6818121.4965393
212,5960308.722270251
213,6036373.399921871
214,6001505.876428221
215,5650878.419853065
216,5385852.3731919695
217,5739260.734385392
218,6371362.780320839
219,5911699.586235189
220,6771084.54568443
221,6580260.849912083
222,5092551.401185682
223,6529380.685569471
224,7008148.15601033
225,6967000.9267852735
226,6010836.121070027
227,6561804.277938241
228,4870955.404523583
229,6204971.912878725
230,6354806.547090427
231,4870411.540560127
232,6782488.266911885
233,6578499.37266274
234,6067691.8555732975
235,5779525.553416497
236,5874952.247672047
237,4653922.717181702
238,5714351.887907257
239,6998877.184906546
240,5918484.993467245
241,5442704.270742959
242,6131095.166570051
243,5619506.1548777735
244,4713067.598905726
245,6112472.575602305
246,6530133.559916329
247,6505107.129621218
248,6132707.846403564
249,5412536.780735509
250,6208143.52125535
251,7475946.552945342
252,5877671.580261247
253,6055898.780142212
254,5469847.712559712
255,5441705.495680702
256,5022914.214841614
257,4964913.984454989
258,5430533.685440454
259,5109704.757871402
260,6197507.864611359
261,5766027.92587658
262,4850158.86709211
263,6381116.816379922
264,5404493.961316488
265,5088703.465375312
266,6046686.647509248
267,3853713.9488819917
268,6051702.963082943
269,5545296.3679066645
270,5637027.956049589
271,4764392.637658896
272,5246024.677781695
273,6666535.4650093485
274,5791320.630461671
275,5227547.105938922
276,5704202.0149811255
277,5489946.885445042
278,5745710.475238148
279,5407679.4657039475
280,5263702.77135027
281,5469026.3548622215
282,5692913.086890907
283,5002148.164523721
284,5872625.52264545
285,5943765.913896584
286,4805141.286310546
287,4926611.357827573
288,5525942.355744324
289,5141120.0478092935
290,5002286.867407691
291,5576531.58846056
292,5505345.019129845
293,4346696.260683918
294,5901496.086637617
295,5541636.716536762
296,5196838.180739807
297,5932531.524357003
298,5680240.845056959
299,4791143.167813597
300,5211086.02198111
301,5494694.167224188
302,4616166.775361973
303,5296977.34840374
304,4780137.233002356
305,4838322.374095343
306,4619678.92244265
307,4881358.252293885
308,5611135.187056384
309,4864699.480316934
310,6486954.107928087
311,4239337.205914525
312,5414268.755961283
313,5352621.061450212
314,6056215.018893745
315,6200036.572413634
316,4945216.485642835
317,6161406.323135616
318,4491559.945252668
319,6489199.115993952
320,5562157.749581889
321,4772430.402952619
322,5602163.412301084
323,4688352.024426287
324,4398661.619150286
325,4114298.6087104194
326,5203982.398701163
327,4078297.9602985308
328,4771974.274864993
329,5830516.338936215
330,4977034.046713564
331,5201952.344363383
332,4692728.951907528
333,5595840.325512534
334,5238230.267334098
335,4739406.729063964
336,4243311.301370287
337,4990917.55040963
338,5767741.786899154
339,5980030.306960961
340,5765684.338710801
341,4198217.831593912
342,4651387.017290563
343,3618872.3967753416
344,4821547.83519741
345,5267018.40695423
